Task,N,16,32,64,128,256,512,no dr,95% CI lower peak
age,50,0.5559,0.5769,0.5869,0.5917,0.5921,0.5901,0.5578,0.5778
ext,50,0.0563,0.0685,0.0723,0.0751,0.0754,0.0754,0.0632,0.0436
ope,50,0.1117,0.1021,0.1015,0.1095,0.1096,0.1109,0.1034,0.0617
gen,50,0.6296,0.6779,0.6889,0.6754,0.6902,0.6889,0.5976,0.6703
gen2,50,0.7199,0.7218,0.7403,0.7193,0.7336,0.7167,0.7126,0.7225
bsag,50,0.3201,0.3098,0.3263,0.2865,0.284,0.3205,0.2959,0.3094
sui,50,0.3723,0.3673,0.3902,0.3851,0.3735,,0.3495,0.3658
,,,,,,,,,
age,100,0.6007,0.6356,0.6425,0.6503,0.6428,0.6456,0.6494,0.6296
ext,100,0.1163,0.1292,0.1372,0.1389,0.1391,0.1391,0.1226,0.103
ope,100,0.1677,0.174,0.1811,0.1823,0.1828,0.1829,0.1567,0.1624
gen,100,0.6793,0.7356,0.7351,0.7469,0.7469,0.7499,0.7531,0.7427
gen2,100,0.7602,0.77,0.7791,0.777,0.7954,0.7999,0.7878,0.7925
bsag,100,0.3139,0.3547,0.3197,0.3234,0.3363,0.309,0.3252,0.346
sui,100,0.3983,0.389,0.386,0.3922,0.4007,,0.3806,0.3837
,,,,,,,,,
age,200,0.621,0.671,0.6924,0.6901,0.694,0.6951,0.706,0.6946
ext,200,0.1609,0.1835,0.1978,0.2005,0.2016,0.2016,0.1794,0.1758
ope,200,0.1937,0.2045,0.2222,0.2245,0.2256,0.2257,0.209,0.1989
gen,200,0.7069,0.7678,0.7811,0.7891,0.7893,0.7904,0.7979,0.7909
gen2,200,0.7786,0.8084,0.8115,0.8269,0.8178,0.8325,0.8215,0.8243
bsag,200,0.3435,0.3595,0.3538,0.3543,0.3743,0.332,0.3417,0.3687
sui,200,0.4056,0.4309,0.4247,0.4405,0.425,,0.4183,0.4062
,,,,,,,,,
age,500,0.6491,0.6955,0.7165,0.7287,0.7322,0.7271,0.7372,0.7326
ext,500,0.1887,0.218,0.2479,0.2539,0.2558,0.2559,0.2429,0.2288
ope,500,0.2274,0.2464,0.2787,0.2816,0.2844,0.285,0.2803,0.2695
gen,500,0.7091,0.7947,0.8118,0.8209,0.8174,0.8201,0.8299,0.8266
gen2,500,0.7839,0.83,0.8458,0.8564,0.8543,0.8652,0.859,0.8613
bsag,500,0.3678,0.3679,0.3791,0.3773,0.39,0.3695,0.381,0.3824
sui,500,0.4025,0.4594,0.4347,0.4161,0.3953,,0.4468,0.4381
,,,,,,,,,
age,1000,0.6555,0.7058,0.7344,0.7447,0.7467,0.747,0.7567,0.7542
ext,1000,0.2199,0.2591,0.293,0.301,0.3063,0.3059,0.2985,0.2963
ope,1000,0.2401,0.2698,0.3197,0.3211,0.324,0.3248,0.3188,0.3102
gen,1000,0.7229,0.8051,0.8254,0.8376,0.8367,0.8385,0.8459,0.8439
gen2,1000,0.7864,0.8445,0.8568,0.8774,0.8695,0.8812,0.8788,0.8768
bsag,1000,0.3723,0.3813,0.3881,0.3906,0.3934,0.3822,0.3948,0.3887
sui,1000,0.4081,0.4782,0.4868,0.4369,0.374,,0.4628,0.4655
,,,,,,,,,
age,2000,0.6582,0.71,0.7439,0.76,0.7632,0.7656,0.7723,0.7706
ext,2000,0.234,0.2801,0.3164,0.3253,0.3271,0.3268,0.3194,0.3222
ope,2000,0.2485,0.2839,0.3383,0.3394,0.3448,0.3457,0.3402,0.3361
gen,2000,0.7246,0.8074,0.8331,0.8493,0.8507,0.8525,0.859,0.8577
gen2,2000,0.7893,0.8447,0.8662,0.883,0.8847,0.8903,0.8903,0.8869
bsag,2000,0.3797,0.3891,0.3995,0.4035,0.4016,0.3922,0.394,0.4006
sui,2000,0.4195,0.4911,0.4909,0.4443,0.401,,0.4795,0.4804
,,,,,,,,,
age,5000,0.6609,0.7145,0.751,0.7703,0.7797,0.7828,0.7882,0.7867
ext,5000,0.2456,0.297,0.3326,0.3454,0.3464,0.3452,0.3362,0.3438
ope,5000,0.2547,0.2964,0.3559,0.3594,0.366,0.3681,0.3659,0.3656
gen,5000,0.7288,0.8098,0.8394,0.8577,0.8629,0.8624,0.8704,0.8689
gen2,5000,0.7917,0.8413,0.8712,0.8921,0.8906,0.8965,0.8969,0.8942
bsag,5000,0.3879,0.3986,0.4105,0.4198,0.4079,0.3754,0.4045,0.4164
sui,5000,0.4133,0.5026,0.5054,0.4412,0.3998,,0.484,0.4967
,,,,,,,,,
age,10000,0.6616,0.7155,0.7527,0.7736,0.7857,0.7897,0.7952,0.7944
ext,10000,0.2486,0.3014,0.3377,0.3539,0.3567,0.3542,0.3451,0.3533
ope,10000,0.256,0.3002,0.3616,0.366,0.3737,0.3756,0.3754,0.3721
gen,10000,0.7285,0.8102,0.8415,0.8621,0.8666,0.8667,0.8766,0.8751
gen2,10000,0.7921,0.8437,0.8722,0.8927,0.8926,0.9059,0.9025,0.9003
bsag,10000,0.39,0.4014,0.4149,0.4246,0.4102,0.3817,0.4017,0.4219
sui,10000,0.4135,0.5082,0.5052,0.4446,0.3911,,0.4862,0.4991